Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume
2012-12-01 00:00:00,1083,3,NB_OS,1,North,77.0,0,,18730,13,0,76,0,1,0,0
2012-12-02 00:00:00,1083,3,NB_OS,1,North,84.0,0,,18376,0,0,84,0,0,0,0
2012-12-03 00:00:00,1083,3,NB_OS,1,North,16.0,0,,17726,0,0,16,0,0,0,0
2012-12-04 00:00:00,1083,3,NB_OS,1,North,24.0,0,,17419,83,0,22,0,2,0,0
2012-12-06 00:00:00,1083,3,NB_OS,1,North,16.0,0,,18507,0,1,15,0,0,0,0
2012-12-07 00:00:00,1083,3,NB_OS,1,North,43.0,0,,18133,0,0,43,0,0,0,0
2012-12-08 00:00:00,1083,3,NB_OS,1,North,90.0,0,,18960,0,0,90,0,0,0,0
2012-12-09 00:00:00,1083,3,NB_OS,1,North,97.0,0,,18674,0,1,96,0,0,0,0
2012-12-10 00:00:00,1083,3,NB_OS,1,North,17.0,0,,19788,0,0,17,0,0,0,0
2012-12-18 00:00:00,1083,3,NB_OS,1,North,29.0,0,,19799,0,0,29,0,0,0,0
2012-12-19 00:00:00,1083,3,NB_OS,1,North,3.0,0,,18055,0,0,3,0,0,0,0
2012-12-20 00:00:00,1083,3,NB_OS,1,North,5.0,0,,15500,0,0,5,0,0,0,0
2012-12-22 00:00:00,1083,3,NB_OS,1,North,52.0,0,,16373,38,0,50,0,2,0,0
2012-12-24 00:00:00,1083,3,NB_OS,1,North,45.0,0,,17969,0,1,44,0,0,0,0
2012-12-25 00:00:00,1083,3,NB_OS,1,North,0.0,16,Holiday,17124,0,0,0,0,0,0,0
2012-12-26 00:00:00,1083,3,NB_OS,1,North,3.0,16,Holiday,16852,0,0,3,0,0,0,0
2012-12-27 00:00:00,1083,3,NB_OS,1,North,3.0,0,,17222,0,0,3,0,0,0,0
2012-12-28 00:00:00,1083,3,NB_OS,1,North,0.0,0,,15035,0,0,0,0,0,0,0
2012-12-29 00:00:00,1083,3,NB_OS,1,North,63.0,0,,18871,16,0,62,0,1,0,0
2012-12-30 00:00:00,1083,3,NB_OS,1,North,0.0,0,,16898,0,0,0,0,0,0,0
